timestamp,approach,device,cuda_available,model_name,question,rouge1,rouge2,rougeL,bert_score,retrieval_hit_at_k,faithfulness,context_utilization,answer_relevancy,judge_groundedness,quality_score,generation_time,retrieval_time,time_to_response,speed_chars_per_sec,cuda_used,domain_relevance,coherence,prompt_chars,response_chars,prompt_tokens,completion_tokens,tokens_per_sec,context_chars,n_chunks_retrieved,cpu_threads,cpu_logical,peak_rss_mb,peak_gpu_mem_mb
2026-08-14 04:13:12.396935+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,What problem does this passage say the work addresses?,0.16216216216216217,0.0136986301369863,0.0945945945945946,0.8105149269104004,0.0,0.46551724137931033,0.19117647058823528,1.0,,0.31499756935607814,44.91583752999941,0.18976449966430664,45.105602029663714,13.113414608079061,0.0,0.0,0.22077922077922077,1193.0,589.0,297.0,128.0,2.849774312112258,975.0,4.0,28,32,,
2026-08-14 04:13:12.222650+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,What experimental result or finding is reported here?,0.08064516129032258,0.0,0.06451612903225808,0.8000565767288208,0.0,0.20454545454545456,0.05238095238095238,0.25,,0.22640149105195118,72.99670517600134,0.17756295204162598,73.17426812804297,6.246857291716725,0.0,0.15384615384615385,0.23646723646723647,1927.0,456.0,1150.0,128.0,1.7535038011836421,1710.0,4.0,28,32,,
2026-08-14 04:13:12.046320+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,"According to this passage, what is the main claim or contribution?",0.13008130081300814,0.0,0.09756097560975609,0.7861059308052063,0.0,0.6170212765957447,0.23308270676691728,0.18181818181818182,,0.29468971234741714,44.87874959700093,0.17689085006713867,45.05564044706807,11.65362236462466,0.0,0.0,0.305982905982906,1185.0,523.0,299.0,128.0,2.8521293741337597,955.0,4.0,28,32,,
2026-08-14 04:13:11.863155+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,What problem does this passage say the work addresses?,0.125,0.0,0.078125,0.817115068435669,0.0,0.46551724137931033,0.19117647058823528,1.0,,0.3075382424186938,44.91583752999941,0.18976449966430664,45.105602029663714,13.113414608079061,0.0,0.0,0.22077922077922077,1193.0,589.0,297.0,128.0,2.849774312112258,975.0,4.0,28,32,,
2026-08-14 04:13:11.689540+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,What limitation or future work is mentioned in this text?,0.037037037037037035,0.0,0.037037037037037035,0.8221182823181152,0.0,0.2222222222222222,0.025157232704402517,0.2,,0.21490689633237633,14.9541986180011,0.18832612037658691,15.142524738377688,4.54721792434568,0.0,0.0,0.0,1560.0,68.0,388.0,12.0,0.8024502219433552,1339.0,4.0,28,32,,
2026-08-14 04:13:11.550843+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,What experimental result or finding is reported here?,0.06779661016949153,0.0,0.03389830508474576,0.7565925121307373,0.0,0.20454545454545456,0.05238095238095238,0.25,,0.21051062686685293,72.99670517600134,0.17756295204162598,73.17426812804297,6.246857291716725,0.0,0.15384615384615385,0.23646723646723647,1927.0,456.0,1150.0,128.0,1.7535038011836421,1710.0,4.0,28,32,,
2026-08-14 04:13:11.364069+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,What problem does this passage say the work addresses?,0.11347517730496454,0.0,0.0851063829787234,0.7893251776695251,0.0,0.46551724137931033,0.19117647058823528,1.0,,0.30221431451517294,44.91583752999941,0.18976449966430664,45.105602029663714,13.113414608079061,0.0,0.0,0.22077922077922077,1193.0,589.0,297.0,128.0,2.849774312112258,975.0,4.0,28,32,,
2026-08-14 04:13:11.182125+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,What problem does this passage say the work addresses?,0.12949640287769784,0.029197080291970802,0.11510791366906474,0.7855007648468018,0.0,0.46551724137931033,0.19117647058823528,1.0,,0.3122509577789139,44.91583752999941,0.18976449966430664,45.105602029663714,13.113414608079061,0.0,0.0,0.22077922077922077,1193.0,589.0,297.0,128.0,2.849774312112258,975.0,4.0,28,32,,
2026-08-14 04:13:11.004076+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,What experimental result or finding is reported here?,0.11570247933884296,0.0,0.06611570247933884,0.7963413000106812,0.0,0.20454545454545456,0.05238095238095238,0.25,,0.22979812715636574,72.99670517600134,0.17756295204162598,73.17426812804297,6.246857291716725,0.0,0.15384615384615385,0.23646723646723647,1927.0,456.0,1150.0,128.0,1.7535038011836421,1710.0,4.0,28,32,,
2026-08-14 04:13:10.825360+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,Summarize the contribution of 'Lightweight and Direct Document Relevance Optimization for Generative Information Retrieval'.,0.3216783216783217,0.0851063829787234,0.19580419580419578,0.8498745560646057,0.0,0.5254237288135594,0.19473684210526315,0.7857142857142857,,0.36863069808689747,56.23014555900045,0.17187714576721191,56.40202270476766,10.741569206258635,0.0,0.07692307692307693,0.1765873015873016,2242.0,604.0,658.0,128.0,2.2763590370879228,1954.0,4.0,28,32,,
2026-08-14 04:13:10.611489+00:00,fine_tuned_with_rag,cpu,False,/app/models/fine_tuned/adapter,What problem does this passage say the work addresses?,0.13740458015267176,0.0,0.10687022900763359,0.8005899786949158,0.0,0.46551724137931033,0.19117647058823528,1.0,,0.3112774631614174,44.91583752999941,0.18976449966430664,45.105602029663714,13.113414608079061,0.0,0.0,0.22077922077922077,1193.0,589.0,297.0,128.0,2.849774312112258,975.0,4.0,28,32,,
